Country/Territory	DrugGroup
Honduras	Hallucinogens
Honduras	Opioids
Honduras	Precursors
Honduras	Substances not under international control
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cocaine-type
Honduras	Cocaine-type
Honduras	Cocaine-type
Honduras	Cocaine-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cocaine-type
Honduras	Cocaine-type
Honduras	Cocaine-type
Honduras	Opioids
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cocaine-type
Honduras	Cocaine-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cocaine-type
Honduras	Cocaine-type
Honduras	Opioids
Nicaragua	Cannabis-type
Nicaragua	Cannabis-type
Nicaragua	Cannabis-type
Nicaragua	Cocaine-type
Nicaragua	Cocaine-type
Nicaragua	Cannabis-type
Nicaragua	Cannabis-type
Nicaragua	Cocaine-type
Nicaragua	Cannabis-type
Nicaragua	Cocaine-type
Nicaragua	Cannabis-type
Nicaragua	Cocaine-type
Nicaragua	Cannabis-type
Nicaragua	Cannabis-type
Nicaragua	Cocaine-type
Panama	ATS
Panama	Cannabis-type
Panama	Cocaine-type
Panama	Cocaine-type
Panama	ATS
Panama	Cannabis-type
Panama	Cocaine-type
Panama	Cocaine-type
Panama	Opioids
Panama	Opioids
Panama	ATS
Panama	ATS
Panama	ATS
Panama	Cannabis-type
Panama	Cocaine-type
Panama	Cocaine-type
Panama	Opioids
Panama	Opioids
Panama	Substances not under international control
Panama	ATS
Panama	ATS
Panama	ATS
Panama	Cannabis-type
Panama	Cocaine-type
Panama	Cocaine-type
Panama	Opioids
Panama	Opioids
Panama	Substances not under international control
Panama	ATS
Panama	ATS
Panama	ATS
Panama	Cannabis-type
Panama	Cocaine-type
Panama	Cocaine-type
Panama	Hallucinogens
Panama	Opioids
Panama	Opioids
Panama	Sedatives and Tranquillizers
Panama	Substances not under international control
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	ATS
Canada	Cannabis-type
Canada	Cannabis-type
Canada	Cannabis-type
Canada	Cannabis-type
